year,month,day,ignore,cmt0.25,cmt2,cmt3,cmt5,cmt7,cmt10
1988,1,8,1,6.75,7.9200001,8.1599998,8.4799995,8.8000002,8.9700003
1988,1,15,1,6.75,7.6100001,7.8299999,8.1300001,8.4200001,8.6000004
1988,1,22,1,6.6999998,7.5100002,7.73,8.0100002,8.29,8.4899998
1988,1,29,1,6.5999999,7.2199998,7.48,7.7600002,8.0600004,8.2600002
1988,2,5,1,6.4000001,7.0999999,7.3200002,7.6399999,7.9499998,8.1199999
1988,2,12,1,6.4000001,7.2199998,7.4200001,7.77,8.0900002,8.2799997
1988,2,19,1,6.4000001,7.21,7.3899999,7.77,8.0799999,8.2600002
1988,2,26,1,6.4000001,7.1599998,7.3499999,7.6700001,7.9699998,8.1800003
1988,3,4,1,6.3499999,7.1999998,7.4499998,7.7399998,8.0600004,8.2799997
1988,3,11,1,6.4000001,7.1999998,7.4299998,7.7600002,8.1099997,8.29
1988,3,18,1,6.4000001,7.23,7.46,7.8099999,8.2299995,8.4099998
1988,3,25,1,6.4499998,7.4099998,7.6100001,7.9499998,8.3100004,8.4700003
1988,4,1,1,6.4499998,7.4099998,7.6599998,8.04,8.3999996,8.5699997
1988,4,8,1,6.625,7.4699998,7.6900001,8.0500002,8.3699999,8.5200005
1988,4,15,1,6.5999999,7.5999999,7.8499999,8.1999998,8.5299997,8.7399998
1988,4,22,2,6.6999998,7.6399999,7.8699999,8.2299995,8.5600004,8.7799997
1988,5,6,1,6.8499999,7.8699999,8.1700001,8.4799995,8.79,9.0100002
1988,5,13,1,7.0500002,7.9000001,8.1400003,8.5100002,8.8199997,9
1988,5,20,1,7.0999999,8.0799999,8.3199997,8.6999998,9.0200005,9.2200003
1988,5,27,1,7.3499999,8.2299995,8.46,8.75,9.0600004,9.2399998
1988,6,3,1,7.3000002,8.0600004,8.2399998,8.5200005,8.8100004,8.9700003
1988,6,10,1,7.25,7.9899998,8.1800003,8.4700003,8.7700005,8.9200001
1988,6,17,1,7.3000002,8.1000004,8.3000002,8.5799999,8.8800001,9.0200005
1988,6,24,1,7.3499999,8.0299997,8.21,8.4499998,8.7200003,8.8500004
1988,7,1,1,7.3499999,7.98,8.1400003,8.3800001,8.6499996,8.7700005
1988,7,8,1,7.5,8.25,8.4099998,8.6400003,8.9200001,9.04
1988,7,15,1,7.75,8.3100004,8.46,8.6700001,8.9200001,9.0799999
1988,7,22,1,7.9000001,8.3500004,8.5,8.71,8.96,9.1099997
1988,7,29,1,7.9000001,8.3900003,8.5699997,8.75,8.9799995,9.1199999
1988,8,5,1,7.75,8.4700003,8.6199999,8.7799997,8.9799995,9.1199999
1988,8,12,1,8.1999998,8.6800003,8.8199997,9.0299997,9.2299995,9.3599997
1988,8,19,1,8.1499996,8.7399998,8.8599997,9.0500002,9.21,9.3500004
1988,8,26,1,8.1999998,8.7799997,8.9200001,9.0699997,9.2600002,9.3800001
1988,9,2,1,8.1000004,8.4499998,8.5799999,8.6999998,8.8699999,9
1988,9,9,1,8,8.4200001,8.5200005,8.6199999,8.8199997,8.9300003
1988,9,16,1,8,8.3999996,8.5299997,8.6499996,8.8199997,8.9300003
1988,9,23,1,7.9499998,8.4700003,8.5600004,8.6899996,8.8599997,8.9700003
1988,9,30,1,8.1000004,8.4300003,8.5200005,8.6099997,8.7799997,8.8699999
1988,10,7,1,8.1999998,8.2600002,8.3400002,8.4300003,8.6099997,8.6999998
1988,10,14,1,8.1999998,8.3299999,8.4300003,8.5200005,8.6999998,8.8100004
1988,10,21,1,8.25,8.3999996,8.46,8.54,8.7200003,8.8299999
1988,10,28,1,8.25,8.2700005,8.3500004,8.3999996,8.5699997,8.6899996
1988,11,4,1,8.25,8.3900003,8.5200005,8.5799999,8.71,8.8500004
1988,11,11,1,8.3500004,8.6000004,8.6400003,8.7200003,8.8400002,8.8999996
1988,11,18,1,8.6000004,8.7700005,8.8299999,8.9099998,8.9899998,9.0500002
1988,11,25,1,8.6999998,8.9799995,9.0299997,9.0699997,9.1400003,9.1700001
1988,12,2,1,8.8999996,9.1199999,9.1300001,9.1099997,9.1700001,9.1800003
1988,12,9,1,8.8999996,9.0299997,9.0500002,9.0500002,9.1000004,9.0699997
1988,12,16,1,9,9.1800003,9.1999998,9.1800003,9.1999998,9.1700001
1988,12,23,1,8.9499998,9.04,9.1099997,9.0799999,9.1099997,9.0500002
1988,12,30,1,8.8500004,9.1400003,9.1800003,9.1400003,9.1800003,9.1400003
1989,1,6,1,8.8950005,9.3199997,9.3500004,9.3000002,9.3199997,9.25
1989,1,13,1,9,9.1400003,9.1499996,9.1000004,9.1000004,9.0600004
1989,1,20,1,9,9.1300001,9.1499996,9.1099997,9.0699997,9.0299997
1989,1,27,1,8.9499998,9.0699997,9.0900002,9.0299997,9,8.9499998
1989,2,3,1,9.0500002,9.2299995,9.1899996,9.1000004,9.0600004,9.0100002
1989,2,10,1,9.1999998,9.3699999,9.3599997,9.2799997,9.25,9.1899996
1989,2,17,1,9.3000002,9.3699999,9.3100004,9.3199997,9.2600002,9.1999998
1989,2,24,1,9.6499996,9.6599998,9.5100002,9.4899998,9.4499998,9.3800001
1989,3,3,1,9.75,9.5,9.3999996,9.3800001,9.3500004,9.3100004
1989,3,10,1,9.75,9.6599998,9.6000004,9.4799995,9.3999996,9.3400002
1989,3,17,1,10.1499996,9.8400002,9.7600002,9.6400003,9.5699997,9.4899998
1989,3,24,1,10,9.8100004,9.7600002,9.6499996,9.5299997,9.4300003
1989,3,31,1,9.9499998,9.7299995,9.6599998,9.5299997,9.3999996,9.3000002
1989,4,7,1,9.8500004,9.5699997,9.54,9.4200001,9.3800001,9.2700005
1989,4,14,1,9.6999998,9.4300003,9.3999996,9.29,9.25,9.1800003
1989,4,21,1,9.6999998,9.4399996,9.3699999,9.2700005,9.21,9.1499996
1989,4,28,1,9.6000004,9.2200003,9.1499996,9.0600004,9.04,9.0200005
1989,5,5,1,9.5500002,9.04,9.04,8.96,8.96,8.9899998
1989,5,12,1,9.3000002,8.8199997,8.8100004,8.8000002,8.8100004,8.8100004
1989,5,19,1,9.3500004,8.9399996,8.8900003,8.8199997,8.75,8.71
1989,5,26,1,9.3500004,8.8900003,8.8599997,8.7200003,8.71,8.6599998
1989,6,2,1,9.1499996,8.5200005,8.4700003,8.4200001,8.4499998,8.4300003
1989,6,9,1,8.9499998,8.2799997,8.2299995,8.1599998,8.1700001,8.1499996
1989,6,16,1,9.1000004,8.5299997,8.4799995,8.3999996,8.3800001,8.3500004
1989,6,23,1,9.1000004,8.3900003,8.3400002,8.2700005,8.29,8.25
1989,6,30,1,8.8999996,8.0799999,8.0500002,8.0299997,8.1000004,8.1000004
1989,7,7,1,8.6999998,7.8299999,7.8499999,7.8600001,8,8.0200005
1989,7,14,1,8.5500002,7.8299999,7.8099999,7.8400002,7.9200001,8.04
1989,7,21,1,8.5,7.9099998,7.9099998,7.8899999,7.9699998,8.0699997
1989,7,28,1,8.4799995,7.5599999,7.6199999,7.5999999,7.7199998,7.8699999
1989,8,4,1,8.3999996,7.9200001,7.98,7.9400001,7.9499998,8
1989,8,11,1,8.4499998,8.1199999,8.1000004,8.1000004,8.0799999,8.0900002
1989,8,18,1,8.6000004,8.2600002,8.2399998,8.1999998,8.1700001,8.1499996
1989,8,25,1,8.6499996,8.3400002,8.3199997,8.2299995,8.2399998,8.21
1989,9,1,1,8.6499996,8.3699999,8.3199997,8.1800003,8.2299995,8.1899996
1989,9,8,1,8.6999998,8.2700005,8.2299995,8.1400003,8.1899996,8.1400003
1989,9,15,1,8.5500002,8.0600004,8.0299997,8.0100002,8.0900002,8.0900002
1989,9,22,1,8.6000004,8.3400002,8.2700005,8.1999998,8.2600002,8.2200003
1989,9,29,1,8.6999998,8.46,8.46,8.3599997,8.3999996,8.3100004
1989,10,6,1,8.6499996,8.1000004,8.0799999,8.0100002,8.0799999,8.0299997
1989,10,13,1,8.5,7.6900001,7.79,7.79,7.8499999,7.8699999
1989,10,20,1,8.3999996,7.9200001,7.96,7.9299998,7.98,7.98
